Rarity,Name,Item Type,Description
Common,Minor Muscle Enhancement,Serum,
Common,Minor Stamina Drink,Serum,
Common,Minor Defense Draught,Serum,
Uncommon,Adrenaline Shot,Serum,
Uncommon,Medium Power-Up Drink,Serum,
Uncommon,Ironhide Tonic,Serum,
Rare,Steel Skin,Serum,
Rare,Berserker Tonic,Serum,
Rare,Great Rush,Serum,
Epic,Shield Serum,Serum,
Epic,Speed Serum,Serum,
Epic,Strength Serum,Serum,
Epic,Heal Serum,Serum,
Legendary,Overclock Booster,Serum,
Legendary,Limit Breaker,Serum,
Legendary,Dragon Scale,Serum,
Legendary,Jackpot Regeneration,Serum,
